com.google.javascript.jscomp.PeepholeFoldConstants:1109	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:692	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:693	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:698	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:699	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.PeepholeFoldConstants:989	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:2135	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:322	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:324	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:328	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:339	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:349	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:356	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:363	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:364	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:366	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:370	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:373	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:380	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.NodeUtil:394	1.0 2.0 0.3333333333333333
com.google.javascript.jscomp.CodeGenerator:561	3.0 25.0 0.3273268353539886
com.google.javascript.jscomp.CodeGenerator:562	3.0 25.0 0.3273268353539886
com.google.javascript.jscomp.CodeGenerator:563	3.0 25.0 0.3273268353539886
com.google.javascript.rhino.Node:1456	3.0 26.0 0.3216337604513384
com.google.javascript.jscomp.PeepholeFoldConstants:88	2.0 11.0 0.32025630761017426
com.google.javascript.jscomp.PeepholeFoldConstants:166	2.0 11.0 0.32025630761017426
com.google.javascript.jscomp.PeepholeFoldConstants:167	2.0 11.0 0.32025630761017426
com.google.javascript.jscomp.PeepholeFoldConstants:173	2.0 11.0 0.32025630761017426
com.google.javascript.jscomp.PeepholeFoldConstants:340	3.0 27.0 0.31622776601683794
com.google.javascript.jscomp.PeepholeFoldConstants:84	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:85	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:326	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:328	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:329	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:331	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:335	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.PeepholeFoldConstants:336	3.0 29.0 0.3061862178478973
com.google.javascript.jscomp.NodeUtil:125	3.0 31.0 0.2970442628930023
com.google.javascript.jscomp.PeepholeFoldConstants:1013	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.PeepholeFoldConstants:1039	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:286	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:305	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:317	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:1118	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:2122	1.0 3.0 0.2886751345948129
com.google.javascript.jscomp.NodeUtil:2160	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:174	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:194	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:842	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:843	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:844	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:847	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:848	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:849	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:850	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:853	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:854	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:911	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:919	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:920	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:921	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:932	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:933	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:936	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:946	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:965	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:966	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:968	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:969	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:970	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:971	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:972	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:976	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:977	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:978	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:979	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:980	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:981	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:982	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:983	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:985	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1021	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1022	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1023	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1029	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1030	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1034	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1035	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.Node:1044	1.0 3.0 0.2886751345948129
com.google.javascript.rhino.jstype.TernaryValue:202	3.0 34.0 0.2847473987257497
com.google.javascript.rhino.Node:1500	2.0 15.0 0.28005601680560194
com.google.javascript.jscomp.PeepholeFoldConstants:1080	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1081	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1084	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1085	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1089	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1090	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1093	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:1113	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:695	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.PeepholeFoldConstants:696	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.NodeUtil:283	1.0 4.0 0.2581988897471611
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:169	3.0 45.0 0.25
com.google.javascript.jscomp.CodeGenerator:867	3.0 46.0 0.24743582965269675
com.google.javascript.jscomp.CodeGenerator:868	3.0 46.0 0.24743582965269675
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:216	3.0 49.0 0.24019223070763068
com.google.javascript.jscomp.PeepholeFoldConstants:735	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.PeepholeFoldConstants:985	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.PeepholeFoldConstants:1009	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.PeepholeFoldConstants:1038	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.NodeUtil:1130	1.0 5.0 0.23570226039551587
com.google.javascript.jscomp.NodeUtil:481	3.0 51.0 0.23570226039551584
com.google.javascript.jscomp.PeepholeFoldConstants:707	1.0 6.0 0.2182178902359924
com.google.javascript.jscomp.PeepholeFoldConstants:708	1.0 6.0 0.2182178902359924
com.google.javascript.jscomp.NodeUtil:258	2.0 26.0 0.2182178902359924
com.google.javascript.jscomp.NodeUtil:2140	1.0 6.0 0.2182178902359924
com.google.javascript.jscomp.CodeGenerator:959	2.0 26.0 0.2182178902359924
com.google.javascript.jscomp.CodeGenerator:960	2.0 26.0 0.2182178902359924
com.google.javascript.jscomp.CodeGenerator:961	2.0 26.0 0.2182178902359924
com.google.javascript.jscomp.CodeConsumer:246	1.0 6.0 0.2182178902359924
com.google.javascript.jscomp.CodeGenerator:628	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:634	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:635	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:940	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:943	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:944	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:952	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:964	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:993	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:994	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:995	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:996	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:997	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:1034	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:1045	2.0 27.0 0.21442250696755896
com.google.javascript.jscomp.CodeGenerator:1046	2.0 27.0 0.21442250696755896
