org.joda.time.chrono.BasicWeekyearDateTimeField:133	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:134	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:140	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:144	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:145	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:146	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:154	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:155	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:162	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:168	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:173	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:179	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:181	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:189	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:191	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:200	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:204	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:234	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:235	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:236	8.0 851.0 0.09650468813067616
org.joda.time.chrono.BasicWeekyearDateTimeField:239	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:83	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:105	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:108	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:189	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:191	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:199	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:200	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:201	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:202	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:214	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:215	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:228	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:230	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:271	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:272	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:465	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:467	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:468	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:469	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:470	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:472	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:473	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:474	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:476	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:480	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:485	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:491	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:497	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:517	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:526	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:527	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:532	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:533	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:541	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:543	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:544	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:546	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:549	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:551	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:553	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:555	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:557	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:559	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:561	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:567	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:569	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:570	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:572	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:575	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:612	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:613	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:622	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:623	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:624	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:625	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:626	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:627	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:630	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:632	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:633	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:634	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:636	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:637	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:764	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:768	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:788	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:934	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:935	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:945	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:946	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:956	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:957	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:958	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:959	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:961	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:962	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:1083	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:1084	8.0 851.0 0.09650468813067616
org.joda.time.chrono.GJChronology:1085	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:211	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:219	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:221	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:233	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:237	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:253	8.0 851.0 0.09650468813067616
org.joda.time.chrono.JulianChronology:261	8.0 851.0 0.09650468813067616
