org.apache.commons.math3.util.FastMath:1567	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1568	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1569	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1570	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1571	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1572	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1574	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:1576	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3334	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3338	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3342	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3343	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3347	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3351	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3361	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3365	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3366	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3367	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3747	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3773	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3774	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3776	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3708	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3740	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3741	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3743	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3780	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3794	1.0 2.25 0.5547001962252291
org.apache.commons.math3.util.FastMath:3796	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:90	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:92	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:93	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:129	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:131	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.inference.MannWhitneyUTest:132	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:193	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:194	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:195	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:199	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:200	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:211	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:212	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:218	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:222	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:223	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:224	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:225	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:226	1.0 2.25 0.5547001962252291
org.apache.commons.math3.stat.ranking.NaturalRanking:227	1.0 2.25 0.5547001962252291
