com.google.javascript.jscomp.SyntacticScopeCreator:113	2.0 5524.0 0.01902433818451165
com.google.javascript.jscomp.Scope:126	2.0 5598.0 0.01889822365046136
com.google.javascript.jscomp.Scope:404	2.0 5706.0 0.018718584988357507
com.google.javascript.jscomp.Scope:405	2.0 5706.0 0.018718584988357507
com.google.javascript.jscomp.Scope:406	2.0 5706.0 0.018718584988357507
com.google.javascript.jscomp.Scope:407	2.0 5706.0 0.018718584988357507
com.google.javascript.jscomp.Scope:410	2.0 5706.0 0.018718584988357507
com.google.javascript.jscomp.NodeTraversal:548	2.0 5775.0 0.01860646258858962
com.google.javascript.jscomp.NodeTraversal:549	2.0 5775.0 0.01860646258858962
com.google.javascript.jscomp.NodeTraversal:576	2.0 5775.0 0.01860646258858962
com.google.javascript.jscomp.NodeTraversal:577	2.0 5775.0 0.01860646258858962
com.google.javascript.jscomp.NodeTraversal:627	2.0 5775.0 0.01860646258858962
com.google.javascript.jscomp.NodeUtil:1975	2.0 5792.0 0.018579146207522112
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:232	2.0 5817.0 0.01853919272657482
com.google.javascript.jscomp.parsing.IRFactory:409	2.0 5818.0 0.01853759994400162
com.google.javascript.jscomp.parsing.IRFactory:410	2.0 5818.0 0.01853759994400162
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:269	2.0 5855.0 0.018478954061668346
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:270	2.0 5855.0 0.018478954061668346
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:271	2.0 5855.0 0.018478954061668346
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:272	2.0 5855.0 0.018478954061668346
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:174	2.0 5857.0 0.01847579984912311
com.google.javascript.jscomp.NodeUtil:1782	2.0 5898.0 0.018411492357966467
com.google.javascript.jscomp.NodeUtil:1789	2.0 5898.0 0.018411492357966467
com.google.javascript.jscomp.NodeUtil:1790	2.0 5898.0 0.018411492357966467
com.google.javascript.rhino.Node:390	2.0 5980.0 0.01828486648462095
com.google.javascript.rhino.Node:391	2.0 5980.0 0.01828486648462095
com.google.javascript.rhino.Node:392	2.0 5980.0 0.01828486648462095
com.google.javascript.rhino.Node:396	2.0 5980.0 0.01828486648462095
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:173	2.0 5989.0 0.018271127071421273
com.google.javascript.jscomp.Compiler:1204	2.0 6111.0 0.018087885490155817
com.google.javascript.jscomp.Compiler:1205	2.0 6111.0 0.018087885490155817
com.google.javascript.jscomp.GoogleCodingConvention:39	2.0 6120.0 0.018074585029236267
com.google.javascript.jscomp.GoogleCodingConvention:44	2.0 6120.0 0.018074585029236267
com.google.javascript.jscomp.GoogleCodingConvention:45	2.0 6120.0 0.018074585029236267
com.google.javascript.jscomp.GoogleCodingConvention:49	2.0 6120.0 0.018074585029236267
com.google.javascript.jscomp.GoogleCodingConvention:50	2.0 6120.0 0.018074585029236267
com.google.javascript.jscomp.Compiler:374	2.0 6148.0 0.018033392693348645
com.google.javascript.jscomp.Compiler:372	2.0 6150.0 0.018030461149365472
com.google.javascript.jscomp.Compiler:373	2.0 6150.0 0.018030461149365472
com.google.javascript.jscomp.Compiler:377	2.0 6150.0 0.018030461149365472
com.google.javascript.jscomp.Compiler:444	2.0 6156.0 0.01802167508802219
com.google.javascript.jscomp.JSModule:94	2.0 6181.0 0.017985204262834193
com.google.javascript.jscomp.JSModule:95	2.0 6181.0 0.017985204262834193
com.google.javascript.jscomp.Compiler:407	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.Compiler:408	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.Compiler:423	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.Compiler:425	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.Compiler:468	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.Compiler:483	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:43	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:51	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:54	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:62	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:63	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:64	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:65	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:104	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:105	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:106	2.0 6182.0 0.01798375003164016
com.google.javascript.jscomp.JSModule:205	2.0 6182.0 0.01798375003164016
com.google.javascript.rhino.Node:833	2.0 6206.0 0.017948953965443454
com.google.javascript.rhino.Node:339	2.0 6206.0 0.017948953965443454
com.google.javascript.rhino.InputId:56	2.0 6213.0 0.017938843098527734
com.google.javascript.jscomp.CompilerOptions:1461	2.0 6267.0 0.017861415071293175
com.google.javascript.jscomp.CompilerOptions:1462	2.0 6267.0 0.017861415071293175
com.google.javascript.jscomp.CompilerOptions:1561	2.0 6267.0 0.017861415071293175
com.google.javascript.jscomp.CompilerOptions:1562	2.0 6267.0 0.017861415071293175
com.google.javascript.jscomp.CompilerOptions:1563	2.0 6267.0 0.017861415071293175
com.google.javascript.rhino.IR:92	2.0 6275.0 0.01785002930754093
com.google.javascript.rhino.IR:93	2.0 6275.0 0.01785002930754093
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:205	2.0 6322.0 0.01778357485073947
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:204	2.0 6344.0 0.017752722477790937
com.google.javascript.jscomp.NodeUtil:2933	2.0 6475.0 0.017572277350854464
com.google.javascript.jscomp.BasicErrorManager:105	2.0 6504.0 0.017533070066522223
com.google.javascript.rhino.jstype.ObjectType:292	2.0 6694.0 0.01728252824550709
com.google.javascript.rhino.jstype.PropertyMap:148	2.0 6697.0 0.017278658011835115
com.google.javascript.jscomp.CompilerInput:117	2.0 6921.0 0.016996826139050132
com.google.javascript.jscomp.CompilerInput:123	2.0 6921.0 0.016996826139050132
com.google.javascript.jscomp.CompilerInput:80	2.0 6925.0 0.016991918017047986
com.google.javascript.jscomp.CompilerInput:79	2.0 6926.0 0.01699069165076462
com.google.javascript.rhino.InputId:61	2.0 6926.0 0.01699069165076462
com.google.javascript.jscomp.Compiler:240	2.0 6947.0 0.01696499914104091
com.google.javascript.jscomp.Compiler:241	2.0 6947.0 0.01696499914104091
com.google.javascript.jscomp.PrepareAst:40	2.0 6949.0 0.01696255830955701
com.google.javascript.jscomp.PrepareAst:41	2.0 6949.0 0.01696255830955701
com.google.javascript.jscomp.JsAst:54	2.0 6961.0 0.016947935411744594
com.google.javascript.jscomp.JsAst:56	2.0 6961.0 0.016947935411744594
com.google.javascript.jscomp.JsAst:87	2.0 6961.0 0.016947935411744594
com.google.javascript.jscomp.JsAst:89	2.0 6961.0 0.016947935411744594
com.google.javascript.jscomp.JsAst:93	2.0 6961.0 0.016947935411744594
com.google.javascript.jscomp.SourceFile:132	2.0 6962.0 0.016946718543287685
com.google.javascript.jscomp.JsAst:41	2.0 6966.0 0.01694185368929243
com.google.javascript.jscomp.JsAst:42	2.0 6966.0 0.01694185368929243
com.google.javascript.jscomp.JsAst:43	2.0 6966.0 0.01694185368929243
com.google.javascript.jscomp.NodeTraversal:533	2.0 6973.0 0.016933350266692068
com.google.javascript.jscomp.NodeTraversal:534	2.0 6973.0 0.016933350266692068
com.google.javascript.jscomp.NodeTraversal:535	2.0 6973.0 0.016933350266692068
com.google.javascript.jscomp.NodeTraversal:536	2.0 6973.0 0.016933350266692068
com.google.javascript.jscomp.NodeTraversal:527	2.0 6977.0 0.016928496913119553
com.google.javascript.jscomp.NodeTraversal:539	2.0 6977.0 0.016928496913119553
com.google.javascript.jscomp.NodeTraversal:541	2.0 6977.0 0.016928496913119553
com.google.javascript.jscomp.NodeUtil:2932	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeUtil:2936	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:282	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:284	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:285	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:288	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:517	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:522	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:523	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:602	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:620	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:625	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:626	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:629	2.0 6979.0 0.016926071800735056
com.google.javascript.jscomp.NodeTraversal:244	2.0 6980.0 0.01692485963531647
com.google.javascript.jscomp.NodeTraversal:245	2.0 6980.0 0.01692485963531647
com.google.javascript.jscomp.NodeTraversal:246	2.0 6980.0 0.01692485963531647
com.google.javascript.jscomp.NodeTraversal:248	2.0 6980.0 0.01692485963531647
com.google.javascript.rhino.Node:1123	2.0 6980.0 0.01692485963531647
com.google.javascript.jscomp.SyntacticScopeCreator:44	2.0 6982.0 0.01692243608556032
com.google.javascript.jscomp.SyntacticScopeCreator:45	2.0 6982.0 0.01692243608556032
com.google.javascript.rhino.jstype.TemplateTypeMap:71	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.TemplateTypeMap:72	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.TemplateTypeMap:73	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.TemplateTypeMap:76	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.TemplateTypeMap:78	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.ObjectType:84	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.ObjectType:88	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.UnionTypeBuilder:71	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.UnionTypeBuilder:100	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.UnionTypeBuilder:103	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.UnionTypeBuilder:104	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.UnionTypeBuilder:105	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.InstanceObjectType:60	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.InstanceObjectType:61	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PrototypeObjectType:84	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PrototypeObjectType:117	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PrototypeObjectType:119	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:60	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:63	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:74	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:80	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:81	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:83	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:84	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:85	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:92	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:93	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:95	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.PropertyMap:64	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:195	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:233	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:234	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:235	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:236	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:237	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:238	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:239	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:242	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:243	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:246	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:247	2.0 6990.0 0.01691275228729346
com.google.javascript.rhino.jstype.JSTypeRegistry:253	2.0 6990.0 0.01691275228729346
