org.apache.commons.math3.linear.TriDiagonalTransformer:246	15.0 0.0 0.7319250547113999
org.apache.commons.math3.linear.TriDiagonalTransformer:247	15.0 0.0 0.7319250547113999
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:79	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:370	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:371	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:372	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:374	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:375	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:376	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:377	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:378	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:379	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:382	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:387	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:390	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:391	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:392	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:394	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:395	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:396	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:397	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:404	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:411	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:413	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:416	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:419	16.0 2.0 0.7126966450997984
