org.apache.commons.math.dfp.Dfp:366	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:367	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:371	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:372	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:394	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:398	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:403	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:406	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:408	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:409	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:412	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:413	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:416	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:417	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:420	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:422	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:428	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:429	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:430	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:431	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:432	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:433	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:435	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:436	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:440	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:441	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:444	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:445	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:446	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:447	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:448	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:451	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:456	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:457	1.0 62.0 0.1259881576697424
