com.google.javascript.rhino.Node:933	1.0 0.0 1.0
com.google.javascript.rhino.Node:712	1.0 42.0 0.15249857033260467
com.google.javascript.jscomp.NodeUtil:293	1.0 42.0 0.15249857033260467
com.google.javascript.jscomp.CodeGenerator:215	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.CodeGenerator:219	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.CodeGenerator:220	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.CodeConsumer:245	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:42	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:43	1.0 46.0 0.14586499149789456
com.google.javascript.jscomp.LineNumberCheck:52	1.0 46.0 0.14586499149789456
com.google.javascript.rhino.Node:711	1.0 48.0 0.14285714285714285
com.google.javascript.rhino.Node:713	1.0 48.0 0.14285714285714285
com.google.javascript.rhino.Node:714	1.0 48.0 0.14285714285714285
com.google.javascript.rhino.Node:715	1.0 48.0 0.14285714285714285
com.google.javascript.jscomp.AbstractPeepholeOptimization:62	1.0 48.0 0.14285714285714285
com.google.javascript.jscomp.AbstractPeepholeOptimization:63	1.0 48.0 0.14285714285714285
com.google.javascript.jscomp.AbstractPeepholeOptimization:64	1.0 48.0 0.14285714285714285
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:247	1.0 56.0 0.13245323570650439
com.google.javascript.jscomp.Compiler:183	1.0 59.0 0.12909944487358055
com.google.javascript.jscomp.Compiler:270	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:226	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:227	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:228	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:229	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:231	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:233	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:235	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:237	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:239	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:241	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:243	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:246	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:249	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:250	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:251	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:252	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:253	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:254	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:255	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:257	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:260	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:261	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:262	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:263	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:264	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:265	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:266	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:267	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:268	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:269	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:270	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:271	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:272	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:273	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:275	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:278	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:279	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:280	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:282	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:285	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:286	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:287	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:288	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:289	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:290	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:291	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:292	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:293	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:294	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:295	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:296	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:297	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:298	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:299	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:300	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:301	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:302	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:303	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:304	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:305	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:306	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:307	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:308	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:309	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:310	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:311	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:312	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:313	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:314	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:315	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:316	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:317	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:318	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:319	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:320	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:321	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:322	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:323	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:324	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:325	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:326	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:327	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:329	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:332	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:333	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:334	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:335	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:336	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:337	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:338	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:340	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:343	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:344	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:346	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:347	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:348	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:349	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:350	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:351	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:352	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:354	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:357	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:358	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:359	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:360	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:361	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:362	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:363	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:364	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:365	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:366	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:368	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:369	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:370	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:371	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:372	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:373	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:374	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:375	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:376	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:377	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:378	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:383	1.0 59.0 0.12909944487358055
com.google.javascript.rhino.testing.BaseJSTypeTestCase:385	1.0 59.0 0.12909944487358055
com.google.javascript.jscomp.CodeGenerator:490	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.CodeGenerator:498	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.CodeGenerator:499	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.CodeGenerator:500	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.CodeGenerator:501	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.CodeGenerator:703	1.0 60.0 0.12803687993289598
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:233	1.0 60.0 0.12803687993289598
com.google.javascript.rhino.Node:512	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:913	1.0 61.0 0.1270001270001905
com.google.javascript.jscomp.CodeGenerator:575	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.CodeGenerator:576	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.CodeGenerator:577	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.CodeGenerator:578	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.CodeGenerator:1083	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.CodeConsumer:223	1.0 62.0 0.1259881576697424
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:98	1.0 63.0 0.125
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:867	1.0 63.0 0.125
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:870	1.0 63.0 0.125
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:872	1.0 63.0 0.125
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:878	1.0 63.0 0.125
com.google.javascript.jscomp.AbstractPeepholeOptimization:83	1.0 63.0 0.125
com.google.javascript.jscomp.AbstractPeepholeOptimization:84	1.0 63.0 0.125
com.google.javascript.jscomp.AbstractPeepholeOptimization:86	1.0 63.0 0.125
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:72	1.0 68.0 0.1203858530857692
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:73	1.0 68.0 0.1203858530857692
com.google.javascript.jscomp.CodeGenerator:828	1.0 68.0 0.1203858530857692
com.google.javascript.jscomp.CodeGenerator:829	1.0 68.0 0.1203858530857692
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:184	1.0 70.0 0.11867816581938533
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:807	1.0 71.0 0.11785113019775793
com.google.javascript.jscomp.parsing.IRFactory:498	1.0 71.0 0.11785113019775793
com.google.javascript.jscomp.parsing.IRFactory:499	1.0 71.0 0.11785113019775793
com.google.javascript.jscomp.NodeUtil:140	1.0 72.0 0.11704114719613057
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:673	1.0 75.0 0.11470786693528087
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:675	1.0 75.0 0.11470786693528087
