org.apache.commons.lang3.math.NumberUtils:1124	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1126	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1138	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1139	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1141	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1142	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1144	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1160	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1176	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1190	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1191	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1193	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1194	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1196	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1208	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1209	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1211	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1212	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1214	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1226	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1227	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1229	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1230	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1232	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1244	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1245	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1247	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1248	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1250	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1266	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1282	0 2.0 0.0
org.apache.commons.lang3.math.NumberUtils:1298	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1302	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:455	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:532	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:629	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1322	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1323	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1325	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1326	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1327	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1328	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1329	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1330	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1332	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1333	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1334	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1335	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1339	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1340	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1343	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1346	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1348	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1350	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1353	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1354	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1355	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1356	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1358	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1359	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1361	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1363	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1364	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1366	0 1.0 0.0
org.apache.commons.lang3.math.NumberUtils:1370	0 1.0 0.0
